FID,Substation,Capacity_o,Year_of_Co,Year_of_Ma,Year_of__1,Year_of__2,Switchgear,Status,X,Y
0,Rubavu,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.30646198,-1.66525816
1,Bwishyura,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.35744474,-2.08531617
2,Shango,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.1288076,-1.83081806
3,Bugesera,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.21651553,-2.08052172
4,Rwabusoro,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.94301579,-2.29459684
5,Mamba,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.9619257,-2.47876544
6,Rusumo Fall,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.78271874,-2.37415373
7,Gahanga,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.10300334,-2.01660469
8,Ndera,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.14953346,-1.93323166
9,Rulindo,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.92568976,-1.7168957
10,Gabiro,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.40148443,-1.55208574
11,Kirehe,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,30.67080716,-2.2744917
12,Nyabihu,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.51115991,-1.60432907
13,Gisagara,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.82870187,-2.6124837
14,Birembo,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.12615313,-1.9079268
15,Gasogi,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.20238578,-1.9235035
16,Gikondo,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.07631034,-1.96481554
17,Kabarondo,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.55817036,-2.00849672
18,Karongi,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.37426426,-2.16454297
19,Kibogora,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.13406493,-2.33912067
20,Kigoma,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.79479306,-2.24451139
21,Kilinda,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.56419823,-2.18722953
22,Mont Kigali,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.04038079,-1.99142768
23,Mururu I,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,28.87915667,-2.51140167
24,Mururu II,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,28.87655918,-2.51344532
25,Musha,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.35806149,-1.94497046
26,Kibuye,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.32467867,-2.07711183
27,Rwinkwavu,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.59750404,-1.96158479
28,Ntendezi,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.03772997,-2.45045468
29,Bugarama,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.01642053,-2.60644516
30,Rukarara,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.49662062,-2.45706236
31,Gicumbi SS,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,30.06264687,-1.57729485
32,Kamanyola,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,29.02109444,-2.74322724
33,Huye,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,29.66636808,-2.53969973
34,Musanze,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,29.58142261,-1.51690255
35,Nyabarongo1,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.63993533,-1.97805133
36,Ntaruka,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.75033919,-1.4774201
37,Mukungwa,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.68226933,-1.5375725
38,Gifurwe,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,29.79676539,-1.53789621
39,Jabana,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.06580302,-1.89114503
40,Nzove,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,30.00469982,-1.9545185
41,Nyabarongo 2,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,29.90043149,-1.86204746
42,Muhanga,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,29.7336517,-2.11066958
43,Nyagatare,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,30.36950395,-1.36153121
44,Symbion/ Shema(Switchyard),0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Underconstruction,29.27646448,-1.75911832
45,Ruzisi III,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,28.96228211,-2.69797964
46,Gishoma,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Existing,28.94481258,-2.66723752
47,Bugesera IP SS,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,30.22537906,-2.28685486
48,BIA 2,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,30.16711698,-2.15074873
49,BIA 1,0,1900-01-00 0:00:00,1900-01-00 0:00:00,,1900-01-00 0:00:00,1900-01-00 0:00:00,Planned,30.16997419,-2.13918414
